subject,session_index,rep,H.percent,UD.percent.e,DD.percent.e,H.e,UD.e.g,DD.e.g,H.g,UD.g.o,DD.g.o,H.o,UD.o.one,DD.o.one,H.one,UD.one.B,DD.one.B,H.B,UD.B.u,DD.B.u,H.u,UD.u.s,DD.u.s,H.s,UD.s.l,DD.s.l,H.l,UD.l.i,DD.l.i,H.i,UD.i.x,DD.i.x,H.x
wiktoria,1,15,0.06739,1.11112,1.1795,0.1035,0.29207,0.39648,0.09893,0.13279,0.23271,0.0747,0.78386,0.85856,0.07978,0.32412,0.40516,0.0578,0.19303,0.25212,0.06674,0.12053,0.18727,0.08617,0.48449,0.57221,0.07084,0.15955,0.23136,0.07547,0.10017,0.1767,0.11059
wiktoria,1,16,0.06643,0.49953,0.56696,0.07062,0.297,0.36861,0.09527,0.09172,0.188,0.07551,0.50367,0.58018,0.11846,0.28766,0.40726,0.095,0.20022,0.29664,0.09497,0.07161,0.16768,0.12271,0.25292,0.37632,0.08725,0.18395,0.27193,0.09967,0.38057,0.48024,0.10688
wiktoria,1,17,0.12708,0.99992,1.12778,0.07455,0.41199,0.48796,0.07015,0.14821,0.2196,0.11961,0.41546,0.53607,0.12301,1.71948,1.84349,0.09262,0.22281,0.31654,0.08818,0.11204,0.20022,0.11209,0.24335,0.35544,0.07932,0.14412,0.22458,0.07102,0.4312,0.50324,0.10752
wiktoria,1,18,0.0826,0.66094,0.74449,0.1025,0.43656,0.5402,0.11054,0.11104,0.22372,0.09452,1.43804,1.53219,0.11027,0.41176,0.52303,0.07515,0.24285,0.31983,0.07919,0.22754,0.30787,0.13874,1.22168,1.36186,0.09038,0.24397,0.335,0.08255,0.4158,0.49959,0.13563
wiktoria,1,19,0.1074,0.39538,0.50392,0.13405,0.43262,0.56768,0.08146,0.12156,0.20444,0.1266,0.88021,1.00799,0.13482,1.64377,1.77973,0.07509,0.21635,0.29237,0.09144,0.27258,0.36403,0.12236,0.27229,0.39563,0.0793,0.2205,0.30094,0.09482,0.33619,0.43101,0.13118
wiktoria,1,20,0.10213,0.2846,0.38773,0.11457,0.30856,0.42365,0.09243,0.14012,0.23255,0.09456,1.04669,1.14221,0.10148,0.41623,0.51771,0.08311,0.21223,0.29663,0.08286,0.13558,0.21947,0.11145,0.26749,0.37994,0.07139,0.25097,0.32337,0.08362,0.1598,0.24443,0.07061
wiktoria,1,21,0.08336,1.22804,1.31248,0.12616,0.33228,0.45978,0.08322,0.15211,0.23584,0.12673,0.68413,0.81207,0.10768,0.54349,0.65243,0.0829,0.21543,0.29938,0.08676,0.20033,0.2881,0.11907,0.22757,0.34788,0.07973,0.211,0.29203,0.07921,0.1837,0.26392,0.09483
wiktoria,1,22,0.08013,0.49965,0.57978,0.06756,0.41497,0.48354,0.11105,0.11653,0.22896,0.09567,0.92404,1.01971,0.11194,0.57066,0.6836,0.08476,0.41197,0.49673,0.09915,0.1716,0.27176,0.11479,0.72881,0.84463,0.09033,0.19191,0.28321,0.07987,0.47109,0.55198,0.07961
wiktoria,1,23,0.09213,0.22806,0.32019,0.09951,0.30835,0.40786,0.08745,0.132,0.21945,0.08466,1.13202,1.21668,0.1005,4.37158,4.47209,0.07969,0.24833,0.32802,0.07192,0.15592,0.22784,0.10748,0.23689,0.34437,0.09092,0.217,0.30792,0.07562,0.19567,0.27129,0.09077
wiktoria,1,24,0.09138,0.2676,0.35899,0.09584,0.30379,0.40077,0.08419,0.06755,0.15174,0.07514,0.4434,0.51967,0.13886,4.2013,4.34118,0.08237,0.25624,0.33904,0.09134,0.13227,0.22462,0.11119,0.18435,0.29554,0.11077,0.36006,0.47199,0.09551,0.25824,0.35579,0.10007
wiktoria,1,25,0.11547,0.24312,0.35991,0.11057,0.27314,0.38471,0.08714,0.12003,0.20817,0.09497,1.69132,1.78728,0.13048,0.46444,0.59592,0.08496,0.22336,0.30832,0.08442,0.13122,0.21564,0.10304,0.20761,0.31204,0.08333,0.17627,0.26088,0.07993,0.27262,0.35256,0.10813
wiktoria,1,26,0.08677,0.39626,0.48376,0.11949,0.3077,0.42833,0.07515,0.11981,0.19596,0.09087,1.14788,1.2399,0.11795,0.80485,0.92429,0.08706,0.17592,0.26395,0.08841,0.11109,0.1995,0.13114,0.34006,0.47219,0.07896,0.18029,0.26025,0.07918,0.26065,0.33983,0.09893
wiktoria,1,27,0.08952,0.72796,0.81869,0.11497,0.28765,0.4041,0.09979,0.11956,0.22034,0.0904,1.29248,1.38402,0.11051,0.64465,0.75616,0.09223,0.23595,0.32818,0.09096,0.1155,0.20697,0.13959,0.34433,0.48507,0.08611,0.21942,0.30681,0.0959,0.19036,0.28925,0.1109
wiktoria,1,28,0.09848,0.97625,1.07577,0.09975,0.63616,0.73591,0.08688,0.11989,0.20778,0.11174,0.54818,0.66093,0.11536,0.46831,0.58367,0.07884,0.26438,0.34321,0.08772,0.16025,0.24797,0.11164,0.28739,0.40049,0.09084,0.18047,0.27232,0.07944,0.41201,0.49197,0.14343
