subject,session_index,rep,H.dot,UD.dot.e,DD.dot.e,H.e,UD.e.g,DD.e.g,H.g,UD.g.o,DD.g.o,H.o,UD.o.one,DD.o.one,H.one,UD.one.B,DD.one.B,H.B,UD.B.u,DD.B.u,H.u,UD.u.s,DD.u.s,H.s,UD.s.l,DD.s.l,H.l,UD.l.i,DD.l.i,H.i,UD.i.x,DD.i.x,H.x
kasia,8,94,0.09157,0.15457,0.24614,0.10028,0.05949,0.16072,0.10846,0.01461,0.12307,0.07284,0.13728,0.21012,0.09113,0.43767,0.52981,0.08018,0.08667,0.16685,0.07237,0.0414,0.11377,0.09157,0.05866,0.15124,0.09572,0.1092,0.20492,0.07669,0.04688,0.12357,0.09017
kasia,8,95,0.07371,0.18153,0.25523,0.08085,0.0824,0.16426,0.09537,0.01803,0.11378,0.07758,0.12766,0.20524,0.0782,0.48197,0.56017,0.08105,0.05524,0.13729,0.09102,0.04527,0.1363,0.10035,0.05913,0.15949,0.09069,0.10012,0.19081,0.07359,0.02295,0.09654,0.09592
kasia,8,96,0.07818,0.14107,0.21925,0.09922,0.09655,0.19577,0.10506,0.0226,0.12766,0.06848,0.11868,0.18716,0.07779,0.43677,0.51456,0.08221,0.08283,0.16504,0.08499,0.02803,0.11402,0.09496,0.0503,0.14525,0.08536,0.09725,0.183,0.05808,0.01456,0.07264,0.07588
kasia,8,97,0.10895,0.08218,0.19114,0.10472,0.10938,0.2141,0.09428,0.01431,0.10959,0.06661,0.12805,0.19566,0.09987,0.17361,0.27349,0.11279,0.0185,0.13167,0.1043,0.01812,0.12241,0.10571,0.04994,0.15565,0.09505,0.08647,0.18152,0.13672,0.05025,0.03125,0.08665
kasia,8,98,0.08268,0.13232,0.21499,0.09424,0.14181,0.23705,0.08503,0.01918,0.10521,0.05017,0.19022,0.24038,0.1065,0.43722,0.54372,0.09583,0.09506,0.19089,0.08598,0.03171,0.1187,0.07735,0.07678,0.15518,0.09028,0.11015,0.20094,0.08599,0.07373,0.15972,0.09532
kasia,8,99,0.07758,0.1876,0.26517,0.07098,0.119,0.19098,0.09481,0.00911,0.10492,0.0855,0.11439,0.19989,0.09039,0.39713,0.48854,0.07538,0.07882,0.15479,0.07676,0.04586,0.12261,0.09554,0.02646,0.123,0.0957,0.10114,0.19684,0.0691,0.0442,0.1133,0.09116
kasia,8,100,0.10144,0.12647,0.22791,0.07255,0.13107,0.20461,0.21912,0.08805,0.00813,0.06082,0.21273,0.2823,0.03585,0.57495,0.61179,0.66035,0.0854,0.03776,0.06177,0.014,0.11452,0.09,0.07765,0.16865,0.12711,0.09877,0.22688,0.17232,0.07354,0.03203,0.11909
kasia,8,101,0.08178,0.64317,0.72494,0.08527,0.06412,0.15039,0.09499,0.09104,0.18704,0.07371,0.65118,0.72489,0.08736,0.17649,0.26385,0.26902,0.09253,0.03015,0.03017,0.11902,0.18197,0.09078,0.01828,0.10906,0.09522,0.12754,0.22366,0.07705,0.04536,0.12241,0.09054
kasia,8,102,0.09979,0.11413,0.21391,0.07685,0.06617,0.14302,0.08557,0.01904,0.10461,0.07555,0.15876,0.2353,0.07875,0.42262,0.50137,0.53758,0.11496,0.01714,0.11375,0.53826,0.67015,0.6061,0.06785,0.00743,0.08725,0.10507,0.2012,0.16875,0.06367,0.00914,0.08582
kasia,8,103,0.09401,0.302,0.39602,0.12769,0.04154,0.16923,0.09009,0.0228,0.11398,0.06327,0.19991,0.26319,0.11267,0.42473,0.5384,0.50679,0.08206,0.0326,0.06709,0.0193,0.11898,0.10543,0.07077,0.1772,0.11908,0.09563,0.21472,0.1406,0.04496,0.03107,0.10523
kasia,8,104,0.12312,0.04052,0.16463,0.11269,0.01887,0.13256,0.09037,0.0325,0.12307,0.06792,0.1636,0.23237,0.09628,0.0912,0.18748,0.18688,0.09568,0.03107,0.0721,0.07279,0.17697,0.08169,0.04606,0.12776,0.09489,0.08734,0.18224,0.14638,0.05904,0.01306,0.09045
kasia,8,105,0.09652,0.18703,0.28355,0.09018,0.0923,0.18279,0.09839,0.0596,0.15952,0.06785,0.13631,0.20481,0.07293,0.47855,0.55148,0.07813,0.07755,0.15568,0.07754,0.03634,0.11388,0.10446,0.0604,0.16486,0.11206,0.10188,0.21394,0.09071,0.03196,0.12267,0.15031
kasia,8,106,0.082,0.15499,0.23698,0.0713,0.1378,0.2091,0.08121,0.00991,0.09112,0.05812,0.15079,0.2099,0.06259,0.50113,0.56472,0.08265,0.10068,0.18334,0.12168,0.02756,0.14924,0.09532,0.08101,0.17728,0.11347,0.133,0.24746,0.08154,0.04116,0.1227,0.12354
kasia,8,107,0.09076,0.23802,0.32878,0.45183,0.21381,0.02269,0.07225,0.0327,0.12798,0.05863,0.1178,0.17643,0.08133,0.49195,0.57406,0.58392,0.09197,0.03562,0.0407,0.01458,0.0909,0.0855,0.07708,0.1634,0.09791,0.08984,0.18775,0.07221,0.02275,0.09597,0.12558
kasia,9,108,0.08214,0.09575,0.17889,0.08578,0.06828,0.15406,0.09478,0.01335,0.10917,0.0586,0.12751,0.1868,0.077,0.49221,0.57021,0.0722,0.11412,0.18731,0.06256,0.03744,0.1,0.09514,0.08228,0.17779,0.07594,0.10087,0.17681,0.06331,0.03185,0.09516,0.05508
kasia,9,109,0.0757,0.10498,0.18165,0.12021,0.10284,0.22305,0.08652,0.02284,0.11036,0.05792,0.13256,0.19148,0.07648,0.41569,0.49217,0.06324,0.10825,0.17149,0.06879,0.04405,0.1144,0.0877,0.05462,0.14231,0.09138,0.09111,0.18249,0.0678,0.02292,0.09072,0.11398
kasia,9,110,0.08102,0.17355,0.25457,0.09531,0.09647,0.19177,0.08664,0.04149,0.12814,0.07286,0.12691,0.19978,0.08156,0.53801,0.61956,0.10457,0.07777,0.18334,0.06809,0.05455,0.12264,0.09515,0.06771,0.16386,0.09966,0.10911,0.21009,0.07807,0.08172,0.15979,0.10496
kasia,9,111,0.08024,0.07688,0.15912,0.09979,0.05931,0.1591,0.07252,0.0131,0.08662,0.06001,0.1313,0.19159,0.09565,0.46484,0.5615,0.08564,0.05025,0.1359,0.09169,0.02691,0.11939,0.09912,0.0644,0.16352,0.09532,0.12273,0.21805,0.07718,0.01782,0.09652,0.10988
kasia,9,112,0.07733,0.09181,0.16915,0.10815,0.09623,0.20438,0.1003,0.01771,0.11801,0.06433,0.11355,0.17788,0.08722,0.39665,0.48482,0.07293,0.08534,0.15827,0.0826,0.04013,0.12273,0.10465,0.04695,0.1528,0.09454,0.10938,0.20493,0.07231,0.01772,0.09003,0.1099
kasia,9,113,0.0913,0.11278,0.20409,0.07552,0.08794,0.16346,0.07979,0.02067,0.10046,0.07118,0.09987,0.17105,0.12108,0.44399,0.56507,0.07968,0.05994,0.13962,0.07448,0.01619,0.09167,0.08807,0.10013,0.1882,0.08403,0.13187,0.2159,0.05898,0.03959,0.09961,0.09924
